DeelGemeenteNaam,GemeenteAdres,GemeenteEmail,GemeenteFax,GemeenteKalender,GemeenteNaam,GemeentePostcode,GemeenteTel,GemeenteWebsite,ICAdres,ICEmail,ICFax,ICGemeenteNaam,ICKalender,ICPostcode,ICTel,ICWebsite,ICnaam
BRUXELLES/BRUSSEL,Hôtel de Ville - Grand-Place 1 (accueil),,02 279 23 91,,BRUXELLES/BRUSSEL,1000,02 279 22 11,http://www.bruxelles.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
Laken,Hôtel de Ville - Grand-Place 1 (accueil),,02 279 23 91,,BRUXELLES/BRUSSEL,1000,02 279 22 11,http://www.bruxelles.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
SCHAERBEEK/SCHAARBBEK,"Colignonplein, ",,02 215 43 91,,SCHAERBEEK/SCHAARBBEK,1030,02 244 75 11,http://www.bruxelles.irisnet.be/FR/1fr_admi/1fr_5com/1fr_5sch.htm,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
ETTERBEEK,"Oudergemselaan, 113-117",info@etterbeek.be,02 627 23 50,,ETTERBEEK,1040,02 627 21 11,http://www.etterbeek.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
ELSENE/IXELLES,"Elsensesteenweg, 168",info1050@elsene.be,02 515 61 59,,ELSENE/IXELLES,1050,02 515 61 11,http://www.elsene.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
SAINT-GILLES/SINT-GILLES,"Maurice van Meenenplein, 39",contact1060@stgilles.irisnet.be,02 536 02 02,,SAINT-GILLES/SINT-GILLES,1060,02 536 02 11,http://www.stgilles.irisnet.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
ANDERLECHT,"Raadsplein, 1",service.demarcherie@publilink.be,02 523 79 84,,ANDERLECHT,1070,02 558 08 00,http://www.anderlecht.be/,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
SINT-JANS-MOLENBEEK/MOLENBEEK-SAINT-JEAN,"Graaf van Vlaanderenstraat, 20",molenbeek@molenbeek.irisnet.be,02 412 36 87,,SINT-JANS-MOLENBEEK/MOLENBEEK-SAINT-JEAN,1080,,http://www.molenbeek.irisnet.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
KOEKELBERG,"Henri Vanhuffelplein, 6",koekelberg@koekelberg.irisnet.be,02 414 10 71,,KOEKELBERG,1081,02 412 14 11,http://www.koekelberg.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
BERCHEM-SAINTE-AGATHE/SINT-AGATHA-BERCHEM,"Koning Albertlaan, 33",,02 464 04 91,,BERCHEM-SAINTE-AGATHE/SINT-AGATHA-BERCHEM,1082,02 464 04 11,http://www.berchem.irisnet.be/,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
GANSHOREN,"Keizer Karellaan, 140",ganshoren@chello.be,02 465 73 73,,GANSHOREN,1083,02 465 12 77,http://www.ganshoren.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
JETTE,"Henri Werriestraat, 18-20",infojette@jette.irisnet.be,02 425 24 61,,JETTE,1090,02 423 12 11,http://www.jette.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
NEDER-OVER-HEEMBEEK,,,,,NEDER-OVER-HEEMBEEK,1120,,http://,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
HAREN,,,,,HAREN,1130,,http://,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
EVERE,"S. Hoedemaekerssquare, 10",,02 241 07 51,,EVERE,1140,02 247 62 60,http://www.evere.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
