Wat,Waar
AEEA,Afgedankte elektronische en elektrische apparaten (RecyclePunt/recyclagepark)
Aansteker,Met of zonder product: KGA
Aardappelschillen,"restafval
tip: doe aan thuiscomposteren of houd kippen"
Aardbeienbakje,restafval
Aarde,selectieve inzameling: bouwafval (recyclagepark)
Accu,KGA
Afvalolie,"Geen frituurolie (vb. motorolie, remolie, kruipolie): KGA
Plantaardige en dierlijke vetten (vb. frituurolie): selectieve inzameling (recyclagepark/inzamelpunt)"
Alcohol,Met of zonder product: KGA
Ampul,"Met geneesmiddel: apotheker
Leeg: glas"
Antiroestmiddel,KGA
Antivries,Met of zonder product: KGA
Appel (-schil),"restafval
tip: doe aan thuiscomposteren of houd kippen"
Appelsien,"restafval
tip: doe aan thuiscomposteren of houd kippen"
As,Uit kachel: restafval
Asbak,"glas of steen: selectieve inzameling bouwafval (recyclagepark)
kunststof: restafval"
Asbesthoudende materialen,"hechtgebonden asbest: selectieve inzameling (recyclagepark)
losgebonden asbest: laten ophalen door erkende ophaler (zie lijst )
: informeer je vooraf goed over de gevaren van asbest en volg bij het zelf verwijderen van hechtgebonden toepassingen steeds de voorgeschreven veiligheidsvoorschriften. Meer info op "
Asfalt,Niet-brandbaar grofvuil
Audiocassette/tape,"cassette/tape: restafval
bandopnemer, cassettespeler: AEEA (RecyclePunt/recyclagepark)"
Autoband,"zonder velg: selectieve inzameling (recyclagepark)
(bij nieuwe aankoop: garagist of bandenbedrijf)"
Autobatterij,KGA
Autoruit,selectieve inzameling: vlak glas (recyclagepark)
Autoshampoo,"Met product: KGA
Zonder product: PMD"
Autowieldop,"Plastiek: restafval
Metaal: oude metalen"
Azijn,"Met product: KGA
Zonder product: PMD of glas"
Badschuim,"Met product: KGA
Zonder product: PMD"
Bakbloem,Restafval
Baksteen,Bouwafval: steenpuin
Bal,Restafval
Balpen,"Vol: KGA
Leeg: restafval
: gebruik een navulbare pen"
Barometer (met kwik),KGA
Batterij,KGA (of Bebat-recipiënten in handelszaken)
Beddengoed,Textielafval
Beenderen,Restafval
Behanglijmoplosser,KGA
Behangpapier,Restafval
Beits,Met of zonder product: KGA
Benzine,KGA
Bestek,"Kunststof, plastic: restafval
Metaal: oude metalen"
Beton,Bouwafval: steenpuin
Bierfles (wegwerp),"Glasbol/ gekleurd glas
: geef de voorkeur aan statiegeldflessen"
"Bladeren (boom, struik, haag...)",Groenafval of composteerbaar
Bleekwater,"Met product: KGA
Zonder product: PMD (enkel bidons van max. 8l inhoud)"
Blikje,PMD
Bloemen,Groenafval of composteerbaar
Bloempot,"kunststof: restafval
steen/ aardewerk: bouwafval (steenpuin)"
Boek,Papier en karton
Boekentas,"Kunststof: restafval
Textiel of leder: textielafval"
Boenwas,Met of zonder product: KGA
Boiler,"gas: oude metalen
elektrisch: AEEA"
Bokaal (glas),Glascontainer (metalen deksel bij PMD)
Boomschors,Groenafval
Boomstronk/ -wortels,groenafval (enkel containerpark)
Botervlootje,Restafval
Braadpan,Oude metalen
Brandblusapparaat,Met of zonder product: KGA
Brandspiritus,Met of zonder product: KGA
Breinaald,"Kunststof (goed verpakken!): restafval
Metaal: oude metalen"
Brievenbus,"Kunststof: restafval
Metaal: oude metalen"
Brikverpakking (drankkarton),PMD
Bril,Restafval
Brilglas,Restafval
Broeksriem,Textielafval
Brons,Beeldje ...: oude metalen
Brood,"Restafval
: dit lusten de kippen
Koop niet te veel ineens, rooster oud brood tot toast of verwerk het in broodpudding. Voer het aan de dieren."
