0,1
Aansteker,Restafvalzak
Aanstekervulmiddel,Recyclagepark (KGA)
Aardappelschillen,"Thuiscomposteren of voederen aan de kippen, eendenâ¦ of restafvalzak"
Aardappelzakken,Restafvalzak
Aardbeienbakje,Restafvalzak
Aarde,CP (aarde) Let wel: ga eerst na bij je gemeente of aarde aanvaard wordt
Aardewerk,Recyclagepark (steenpuin)
Accu,Recyclagepark (KGA)
Aceton,Recyclagepark (KGA)
Actieve kool (filter waterbehandeling),Restafvalzak
Aerosolflacons,Apotheker
Afbijtmiddel,Recyclagepark (KGA)
Afbraakhout,Recyclagepark (hout)
Afsluiting (beton),Recyclagepark (steenpuin)
Afsluiting (hout),Recyclagepark (hout)
Afsluiting (metaal),Recyclagepark (metaal)
Aftershave (lege flacons in plastic),PMD-zak
Aftersun (lege flacons in plastic),PMD-zak
Afvalolie,Recyclagepark (KGA)
Afwasmiddel (lege flacon),PMD-zak
Afzuigkap (bruikbaar),Kringwinkel
Alcohol,Recyclagepark (KGA)
Alcoholstift,Recyclagepark (KGA)
Alkalinebatterijen,Recyclagepark (KGA)
Aluminium,Recyclagepark (metaal)
Aluminium bakje / schotel (leeg),PMD-zak
Aluminium schaaltje van kattenvoer,Een aluminium schaaltje mag in de blauweÂ PMD-zak. 	Maak deÂ folie los van het bakjeÂ en gooi ditÂ los van elkaar in de zak.
Aluminiumfolie,Restafvalzak
Amalganen,Recyclagepark (KGA)
Ammoniak,Recyclagepark (KGA)
Ampullen,Apotheker
Anti-roestmiddel,Recyclagepark (KGA)
"Antigel, antirimpelcreme",Recyclagepark (KGA)
Antitranspiratiemiddelen,Recyclagepark (KGA) Let wel: lege bussen deodorant mogen in de PMD-zak
Antivries,Recyclagepark (KGA)
Antwoordapparaat,Recyclagepark (elektro)
Antwoordapparaat (bruikbaar),Kringwinkel
Arduin,Recyclagepark (steenpuin)
As,Afgekoelde as- en roetresten âº restafvalzak
Asbak (glas/steen),Recyclagepark (steenpuin)
Asbak (metaal),Recyclagepark (metaal)
Asbesthoudende platen,Recyclagepark (asbest) 	Verplicht verpakt aan te leveren vanaf 2020. Zie voor meer info: www.mirom.be/asbest
Asfalt (niet teerhoudend),Recyclagepark (steenpuin)
Assen (afgekoeld),Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Audiocassettes,Restafvalzak
Autobanden (zonder velg),"Bandencentrale of recyclagepark (enkel op het recyclagepark in Menen (Industrielaan 30) voor inwoners van Menen, Wervik en Wevelgem). Verkopers van banden zijn verplicht om alle afvalbanden van particulieren in ontvangst te nemen, ook al worden er geen nieuwe banden aangekocht. In dit laatste geval beperkt het engagement zich tot 4 afvalbanden per privaat huishouden tot einde december 2015."
Autobatterij,Recyclagepark (KGA)
Autoruit,Recyclagepark (vlak glas)
Autoshampoo (lege flacon),PMD-zak
Autovelg,Recyclagepark (metaal)
Autowax,Recyclagepark (KGA)
Azijn (lege fles uit glas / kunststof fles),Glasbol / PMD-zak
Azijnzuur,Recyclagepark (KGA)
BH,Recyclagepark (textiel) Let wel: bevuilde of versleten textiel in restafvalzak
Baardtrimmer,Recyclagepark (elektro)
Baardtrimmer (bruikbaar),Kringwinkel
Babyvoeding,Restafvalzak
Badkuip in keramiek,Recyclagepark (niet recycleerbaar)
Badkuip in metaal,Recyclagepark (metaal)
Badkuip in polyester,Recyclagepark (perscontainer brandbaar afval)
Badolie (lege flacon),PMD-zak
Badschuim (lege flacon),PMD-zak
Bakbloem,Restafvalzak
Bakstenen,Recyclagepark (steenpuin)
Bal,Restafvalzak
Ballonnen,Restafvalzak
Balpen,Recyclagepark (KGA)
Barbecue,Recyclagepark (metaal)
Barbecue (bruikbaar),Kringwinkel
Barbecue (elektrisch),Recyclagepark (elektro)
Barometer met kwik,Recyclagepark (KGA)
Batterijen,Recyclagepark (KGA)
Bed (bruikbaar),Kringwinkel
Bed (hout/metaal),Recyclagepark (hout / metaal)
Beddengoed,Recyclagepark (textiel) Let wel: bevuilde of versleten textiel in restafvalzak
Bedverwarmer,Recyclagepark (elektro)
Beenderen,Restafvalzak
Behangpapier,Restafvalzak
Beitsmiddelen,Recyclagepark (KGA)
Benzeen,Recyclagepark (KGA)
Benzine,Recyclagepark (KGA)
Berenklauw,RecyclageparkÂ (tuinafval)
Bestek,Recyclagepark (metaal)
Bestrijdingsmiddelen,Recyclagepark (KGA)
Beton (ook gewapend),Recyclagepark (steenpuin)
Bierfles (glas),Glasbol
Biervilt,Papier en karton
Bijsluiter,Papier en karton
Black Varnish,Recyclagepark (KGA)
Bladblazer,Recyclagepark (elektro)
Bladeren,Thuiscomposteren of tuinafvalbak of recyclagepark (tuinafval)
Bladzuiger,Recyclagepark (elektro)
Bleekwater (lege flacon),"PMD-zak (Let wel: max. volume 8 liter) Verpakkingen van bleekwater kunnen perfect gerecycleerd worden. Je mag ze dan ook bij PMD sorteren, tenzij er Ã©Ã©n van onderstaande pictogrammen op de verpakking staat: Verpakkingen met kindveilige sluiting zijn niet toegelaten bij PMD: Kindveilige sluiting Â"
Blender,Recyclagepark (elektro)
Blikjes (leeg),PMD-zak
Blikopener (metaal/ elektrisch),Recyclagepark (metaal / elektro)
Blister van medicijnen,Restafvalzak
Bloem (bakmeel),Restafvalzak
Bloem (tuin),Thuiscomposteren of tuinafvalbak of recyclagepark (tuinafval)
Bloempot (plastic),PMD-zak
Bloempot (steen/keramiek),Recyclagepark (steenpuin / niet recycleerbaar)
Bloempotje,PMD-zak
Boeken,Papier en karton
Boekentas (bruikbaar),Kringwinkel
Boekentas (bruikbaar),Kringwinkel
Boenwas,Recyclagepark (KGA)
Bokalen (glas),Glasbol
Boomschors,Thuiscomposteren of tuinafvalbak of recyclagepark (tuinafval)
Boomstronken,Recyclagepark (tuinafval)
Boordsnijder,Recyclagepark (elektro)
Botervlootjes,PMD-zak
Braadpan,Recyclagepark (metaal)
Braadschotel,Recyclagepark (niet recycleerbaar)
Braadzak,Restafvalzak
Brandblusapparaat,Recyclagepark (KGA)
