Locatie,Vraag,Antwoord
PMD,Moet ik de verpakkingen uitspoelen vooraleer ze in de blauwe zak mogen?,"Wassen of uitspoelen van de verpakkingen is in principe niet nodig. De verpakkingen moeten wel goed geledigd zijn. Wanneer u het product volledig hebt opgebruikt, kunt u de verpakkingen sorteren zonder dat u ze nog verder hoeft te reinigen."
PMD,Mogen de doppen op de plastic flessen en flacons blijven zitten?,U mag de doppen op de plastic flessen en flacons laten zitten. Ze worden mee gerecycleerd.
PMD,Waarom mogen verpakkingen die giftige of andere gevaarlijke producten hebben bevat niet in de PMD-zak?,"Verpakkingen die giftige producten, ontstoppingsproducten, WC-ontkalkers of motorolie bevat hebben, en andere gevaarlijke producten zoals lak, verf, oplosmiddelen, zuren, pesticiden en insecticiden kunnen gevaarlijk zijn voor de mensen in de sorteer- en recyclagecentra. Ze moeten dan ook afzonderlijk worden behandeld. Sorteer ze daarom altijd bij het Klein Gevaarlijk Afval (KGA). Raadpleeg uw gemeente of intercommunale om te weten hoe KGA bij u wordt ingezameld."
PMD,Wat betekent het Groene Punt-logo?,"Het Groene Punt-logo op een verpakking geeft aan dat het bedrijf dat het product op de markt brengt, lid is van Fost Plus en daardoor een bijdrage levert aan de selectieve inzameling, sortering en recyclage van de verpakkingen. Het betekent niet dat de verpakking automatisch selectief zal worden ingezameld en gerecycleerd. Dat hangt immers af van het materiaal dat gebruikt werd. Het betekent ook niet noodzakelijk dat u de verpakking in de blauwe PMD-zak mag aanbieden. Het Groene Punt-logo is dus geen sorteerlogo."
PMD,Waarnaar verwijzen de nummers in het driehoekje op plastic verpakkingen?,"De nummers in het driehoekje verwijzen naar het soort plastic waaruit het product bestaat. Het nummer geeft echter niet aan of de verpakking bij het PMD hoort of niet. Verpakkingen met hetzelfde nummer (die dus uit hetzelfde soort plastic bestaan) kunnen niet altijd op dezelfde manier verwerkt of gerecycleerd worden. Per soort plastic bestaan er verschillende diktes en kwaliteiten die niet allemaal samen gerecycleerd kunnen worden. Vaak zijn deze verpakkingen (bakjes, schaaltjes, yoghurtpotjes, botervlootjes…) ook maar in kleine hoeveelheden beschikbaar op de markt waardoor de stroom niet geschikt is om te kunnen recycleren.\n\nAls je wil weten of je verpakking bij PMD thuishoort, raadpleeg je dus best de sorteerregels voor PMD. Voor plastic verpakkingen geldt alvast dat enkel plastic flessen en flacons bij PMD horen."
PMD,Waarom mag ik geen flessen of flacons vastmaken aan de buitenkant van de blauwe zak?,"Bij het binnenkomen in het sorteercentrum worden de blauwe plastic zakken automatisch geopend en als afzonderlijke fractie uitgesorteerd. Verpakkingen die aan de buitenkant van de zak worden vastgemaakt, worden samen met de zakken meegenomen en komen daardoor in de verkeerde stroom terecht."
PMD,Wat als mijn blauwe PMD-zak geweigerd wordt met een rode sticker?,"De ophalers krijgen de specifieke opdracht om de aangeboden PMD-zakken visueel te controleren. Wanneer ze afval bevatten dat er niet in thuishoort, nemen ze die niet mee. De ophalers kleven in dat geval een rode weigeringssticker op de zak. U moet de fout gesorteerde voorwerpen dan uit de zak halen, het voorste luik van de sticker afscheuren, en de PMD-zak bij de volgende inzameling opnieuw buiten plaatsen. Voor papier-karton bestaat een gelijkaardige procedure. Wie de geweigerde zak niet terug binnenhaalt, riskeert een boete voor sluikstorten. Raadpleeg de sorteerregels voor PMD om te weten te komen wat u fout hebt gedaan."
Glasbol,Mogen deksels en doppen in de glasbollen?,"Deksels en doppen van flessen of bokalen zijn van heel uiteenlopende materialen gemaakt, waaronder plastic, metaal en kurk. Ze kunnen het recyclageproces ernstig vervuilen en mogen dus niet in de glasbol. Metalen deksels en doppen mogen bij het PMD. Deksels en doppen van andere materialen sorteert u bij het restafval of in het containerpark."
Glasbol,"Wat met de etiketten op de glazen flessen, flacons en bokalen?",Etiketten verdwijnen automatisch tijdens het behandelingsproces en vormen geen enkel probleem.
Glasbol,Waarom is het belangrijk om glas goed te sorteren?,"Hoe beter we sorteren, hoe efficiënter de recyclage zal verlopen en hoe hoger de kwaliteit van de gerecycleerde materialen. Dat geldt zeker ook voor glas. Zo is het belangrijk om in de glasbollen gekleurd glas strikt te scheiden van niet-gekleurd glas. Enkel het niet-gekleurde glas kan gebruikt worden om te recycleren tot nieuw niet-gekleurd glas.\n\nDaarnaast zijn stenen flessen, aardewerk, keramiek en porselein uit den boze, net als hittebestendig glas, dat onder meer gebruikt wordt in schotels voor de oven of de microgolfoven en vitro-keramische platen. De smelttemperatuur van deze materialen ligt immers hoger dan die van het gewone glas. Op die manier kunnen niet-gesmolten stukjes terechtkomen in de flessen die gemaakt worden uit de gerecycleerde materialen, die daardoor onbruikbaar worden."
Papier en karton,"Waarom horen vuil en vet papier, huishoudfolie en behangpapier niet thuis bij papier-karton?","Ze bevatten stoffen die een negatieve invloed hebben op het recycleren van papier, waaronder cellofaan en lijm.  Te sterk vervuilde vezels verstoren het recyclageproces, en halen de kwaliteit van het gerecycleerd papier naar beneden. Sorteer ze daarom altijd bij het restafval of in het containerpark."
Papier en karton,Waarom moet de plastic folie rond reclamefolders en tijdschriften worden verwijderd?,"Het plastic zorgt voor een ernstige vervuiling van het recyclageproces van papier en karton. Sorteer plastic folie daarom altijd bij het restafval of in het containerpark."
