Orgineel,Synoniem,Dialect
Aansteker,Allumeur,1
Aansteker,Briquet,1
Aardappelschil,Patattenschel,1
Aardappelschil,Petetteschel,1
Aarde,Grond,0
Aardewerk,Gleierwerk,1
Aardewerk,Pottekarree,1
Aftershave,Kinfris,0
Aftershave,Scheerlotion,0
Alcohol,Sterke drank,0
Alcoholstift,Alkoolstift,1
Alcoholstift,Benzinestift,0
Alcoholstift,Dikke stift,0
Alcoholstift,Merkstift,0
Alcoholstift,Viltstift,0
Aluminiumfolie,Zilverpapier,0
Antivries,Antigel,1
Arduin,Ardoan,1
Arduin,Arduinsteen,0
Arduin,Blauwe steen,1
Arduin,Blauwsteen,0
Arduin,Borduur,0
Arduin,Hardsteen,0
Arduin,Kolenkalksteen,0
Arduin,Petit granit,1
Asbesthoudend materiaal,Aminanthoudend materiaal,0
Asbesthoudend materiaal,Steenvlashoudend materiaal,0
Asfalt,Aardhars,0
Asfalt,Macadam,0
Asfalt,Tarmac,0
Audiocassette,Audiotape,0
Baksteen,Briek,1
Baksteen,Kareel,1
Baksteen,Klinker,0
Baksteen,Kreel,1
Baksteen,Moef,1
Balpen,Ballpoint,1
Balpen,Bic,1
Balpen,Kogelpen,0
Balpen,Stylo,1
Band,Autoband,0
Barbecue-stel,Barbecu-stel,1
Barbecue-stel,Bbq-stel,1
Barometer,Luchtdrukmeter,0
Batterij,Piele,1
Batterij,Pile,1
Beenderen,Gebeente,0
Beenderen,Geraamte,0
Beenderen,Karkas,0
Beenderen,Skelet,0
Behanglijmoplosser,Behangafweekmiddel,0
Behangpapier,Frut,1
Behangpapier,Meubelpapier,1
Beits,Sapsel,1
Benzine,Naft,1
Benzine,Nafte,1
Bestek,Couvert,0
Bestek,Eetgerei,0
Bestek,Eetgerief,1
BH,Beha,0
BH,Bustehouder,0
BH,Bustier,0
BH,Loesbril,1
BH,Soutien,1
BH,Tettegarage,1
Bierfles,Pintje,1
Bierviltje,Bierkaartje,1
Bierviltje,Onderleggerke,1
Bladeren,Blaaien,1
Bladeren,Gebladerte,0
Bladeren,Kruin,0
Bladeren,Loof,0
Bleekwater,Eau de javel,1
Bleekwater,Javel,1
Bleekwater,Javelwater,1
Blikje,Conservenblikje,0
Bloem,Bakmeel,0
Bloem,Meel,0
Bloemen,Bloemekee,1
Bloemen,Bloemetjes,0
Bloemen,Bloempjes,0
Bloemen,Bloms,1
Bloemen,Boekee,1
Bloemen,Boeket,0
Bloemen,Ruiker,0
Bloempot,Cache-pot,1
Bloempot,Pot,0
Bloempot,Pottecaree,1
Boek,Leesboek,0
Boek,Paperback,0
Boek,Pocketboek,0
Boekentas,Bazas,1
Boekentas,Calpin,1
Boekentas,Cannasière,1
Boekentas,Kabas,1
Boekentas,Kalpei,1
Boekentas,Kannasière,1
Boekentas,Karnasjeir,1
Boekentas,Kazak,1
Boekentas,Kepelder,1
Boekentas,Kolbas,1
Boekentas,Schooltas,0
Boenwas,Wrijfwas,0
Boiler,Geiser,0
Boiler,Warmwaterketel,0
Boiler,Warmwatertoestel,0
Boiler,Warmwatervat,0
Boiler,Waterboiler,0
Boiler,Waterverwarmer,0
Bokaal,Conserveerpot,1
Bokaal,Steriliseerbokaal,0
Bolletjesfolie,Bollekesplastiek,1
Bolletjesfolie,Bolletjesplastic,0
Bolletjesfolie,Bubbelfolie,1
Bolletjesfolie,bubbeltjesplastic,0
Bolletjesfolie,Noppenfolie,0
Boomschors,Schors,0
Boomstronk,Aarsgat,1
Boomstronk,Jeisgat,1
Boomstronk,Stronk,0
Boomstronk,Tronk,0
Bord,Taljoor,1
Bord,Talloor,1
Bord,Teljoor,0
Bord,Telloor,1
Braadpan,Bakpan,0
Braadpan,Casserole,1
Braadpan,Kookpan,0
Braadpan,Stoofpot,0
Braadpan,Sudderpan,0
Braadpan,Tiele,1
Brandblusapparaat,Brandblusser,0
Brandmelder,Rookdetector,0
Brandmelder,Rookmelder,0
Brandspiritus,Brandalcohol,0
Brandspiritus,Spiritus,0
Breinaald,Breipen,0
Breinaald,Haaknaald,0
Breinaald,Priem,1
Breinaald,Sjtrikpen,1
Breinaald,Stopnaald,0
Breinaald,Strikiezer,1
Breinaald,Strikijzer,1
Brievenbus,Boite,1
Brievenbus,Brievenbwotte,1
Brievenbus,Klakker,1
Brievenbus,Postbus,0
Brikverpakking,Brik,0
Brikverpakking,Tetrabrik,0
Brikverpalling,Tetrapak,0
Bril,Leesbril,0
Broeksriem,Ceintuur,0
Broeksriem,Centuur,1
Broeksriem,Riem,0
Broodrooster,Bruudruuster,1
Cadeaupapier,Geschenkpapier,0
Cadeaupapier,Geschenkverpakking,0
Cadeaupapier,Inpakpapier,0
Capsule,Cachet,0
Capsule,Gelule,1
Capsule,Kapsul,1
Capsule,Pastille,0
Capsule,Pil,0
Capsule,Tablet,0
Carbolineum,Carbol,0
Carbolineum,Creosootolie,0
Carbolineum,Teerolie,0
Carbonpapier,Kalkeerpapier,1
Casette,Banneke,1
Casette,Casetteband,0
Casette,Filmcassette,0
Casette,Muziekcassette,0
Casette,VHS,0
Casette,Videoband,0
Casette,Videocassette,0
CD-doosje,Ceedee-doosje,0
CD-doosje,Compact disk-doosje,0
CD-doosje,Compactplaat-doosje,0
CD-schijfje,Ceedee-schijfje,0
CD-schijfje,Compact disc-schijfje,0
CD-schijfje,Compactplaat-schijfje,0
Cellenbeton,Gasbeton,0
Cellenbeton,Ytongblok,1
Cellofaanpapier,Cellofaan,0
Chloroform,Methyltrichloride,0
Chloroform,Trichloormethaan,0
Chocolade,Fondant,-2
Chocolade,Praline,-2
Chocolade,Sjokla,1
Chocolade,Sjukla,1
Computer,Homecomputer,0
Computer,Microcomputer,0
Computer,PC,0
Confituurpot,Jampot,0
Confituurpot,Spijspot,1
Contactlens,Contactglas,0
Correctievloeistof,Blunderkalk,1
Correctievloeistof,Flaterwater,1
Correctievloeistof,Officiersinkt,1
Correctievloeistof,Tipp-Ex,0
Correctievloeistof,Type-ex,0
Correctievloeistof,Typex,0
Correctievloeistof,Witkwast,1
Correctorverdunner,Blunderkalkverdunner,1
Correctorverdunner,Flaterwaterverdunner,1
Correctorverdunner,Officiersinktverdunner,1
Correctorverdunner,Tipp-Exverdunner,0
Correctorverdunner,Type-exverdunner,0
Correctorverdunner,Witkwastverdunner,1
Cosmetica,Haarlak,-2
Cosmetica,Haarspray,0
Cosmetica,Schoonheidsproduct,0
Dekbed,Deken,0
Dekbed,Donsdeken,0
Dekbed,Overtrek,0
Dekbed,Sargie,1
Dekbed,Sasie,1
Dekbed,Serze,1
Dekbed,Seus,1
Dekbed,Seuzze,1
Dekbed,Sjarge,1
Dekbed,Sjarze,1
Dekbed,Soase,1
Dekbed,Soaze,1
Dekbed,Sorze,1
Dekbed,Sprei,0
Deksel,Hulle,1
Deksel,Scheel,1
Deksel,Ulle,1
Deodorant,Deo,0
Detergent,Detergens,0
Detergent,Reinigingsmiddel,0
Detergent,Wasmiddel,-2
Detergent,Waspoeder,-2
Detergent,Zeep,-2
Detergent,Zeeppoeder,-2
Dettol,Chloorxylenol,0
Dicteerapparaat,Dictafoon,0
Dicteerapparaat,Memorecorder,0
Dicteerapparaat,Voicerecorder,0
Dierlijke uitwerpselen,Mest,0
Diesel,Dieselolie,0
Diesel,Gasolie,0
Diskette,Floppy,0
Diskette,Floppydisk,0
Dop,Stop,0
Dop,Stopke,1
Dop,Tsjoep,1
Drinkbeker,Drinkbus,0
Drinkbeker,Drinkkroes,0
Drinkbeker,Kelk,0
Drinkbeker,Kroes,0
Drinkbeker,Mok,0
Drooglijn,Droogdraad,0
Drooglijn,Wasdraad,0
Drooglijn,Waslijn,0
Dweil,Opneemdoek,0
Dweil,Opneemvod,0
Dweil,Schotelvod,0
Dweil,Vaatdoek,0
Dweil,Vod,0
Eierschaal,Eierschelp,1
Elektriciteitsdraad,Elektriciteitsleiding,0
Emmer,Aker,0
Emmer,Auker,1
Emmer,Putemmer,0
Emmer,Seule,1
Emmer,Tob,1
Emmer,Tobbe,1
Envelop,Briefomslag,0
Envelop,Enveloppe,0
Envelop,Omslag,0
Epoxyhars,Epoxylijm,0
Etensresten,Knuis,1
Etensresten,Kwet,1
Eternit,Etex,2
Ethanol,Ethylalcohol,0
Ether,Di-ethylether,0
Ether,Ethoxyethaan,0
Eyeliner,Ogenstift,0
Eyeliner,Ooglijner,0
Eyeliner,Oogpenseel,0
Eyeliner,Oogpotlood,0
Faience,Plateelwerk,0
Fiets,Rijwiel,0
