Wat?,specificaties,Tip
Aansteker,,Hervulbare aanstekers zijn beter.
Alcoholstift,,"Gebruik navulbare stiften, bij voorkeur op waterbasis."
Alkaline batterij,,Gebruik toestellen op netstroom.
Alkaline batterij,,"Gebruik herlaadbare batterijen, bij voorkeur nikkelmetaal-hybride (NiMH-batterijen)."
Aluminiumfolie,,"Gebruik een brooddoos, wegbergdozen, of zo nodig plasticfolie."
Autoband,,"Verleng de levensduur: hou een vlotte rijstijl aan, zonder bruusk optrekken of remmen."
Badschuim,,Gebruik gewone zeep.
Balpen,,Gebruik een navulbare pen.
Behanglijmoplosser,,'stoom' uw behang af.
Bestek,kunststof,"Gebruik duurzaam, metalen, bestek."
Bestrijdingsmiddelen,,"Hou ongedierte en ziekten binnen de perken door vruchtwisseling toe te passen, natuurlijke vijanden aan te trekken (vogels, egels, kikkers, …)."
Blikje,,Geef de voorkeur aan statiegeldflessen.
Blikje,,Gebruik een drinkbus of thermos.
Bloempot,kunststof,Gebruik biodegradeerbare bloempotjes.
Boekentas,,Indien nog bruikbaar is hij welkom in kringswinkels.
Boomschors,,"Laat het als mulchlaag liggen tussen bomen, struiken, en heesters."
Boomschors,,"Gooi het op de composthoop, in de compostbak of het compostvat."
Brood,,Koop niet teveel ineens.
Brood,,Rooster oud brood tot toast of verwerk het in broodpudding.
Brood,,Voeder het aan de dieren.
Broodzak,,Neem uw eigen broodzak mee naar de bakker.
Cadeaupapier,,"Verpak een geschenk in een herbruikbare verpakking (handdoek, brooddoos, …)."
Cartridge,,Geef de voorkeur aan hervulbare inktpatronen.
Conserveblikje,,Geef de voorkeur aan verse producten.
Detergent,fles of flacon,Kies een navulbare verpakking.
Dierlijke uitwerpselen,,"Van planteneters (cavia, etc.) is de mest composteerbaar."
Diskette,,Gebruik een memory-stick.
Douchegel,,Geef de voorkeur aan zeep.
Drankblikjes en -kartons,,Geef de voorkeur aan statiegeldflessen.
Droogkuisproduct,,Geef de voorkeur aan wasbaar textiel.
Eierschaal,,"Verbrijzel ze en gooi ze op de composthoop, in de compostbak, of het compostvat."
Etensresten,,"Voeder ze aan de kippen of een huisdier (hond, …)."
Etensresten,,"Kleine hoeveelheden zonder vlees, vis, vet of saus: gooi ze op de composthoop, in de compostbak, of het compostvat, en werk ze onder."
Fiets,,Breng herbruikbare fietsen naar de kringwinkel.
Flacon,,Kies bij voorkeur navulbare.
Fles,kunststof,Kies bij voorkeur statiegeldflessen.
Fluostift,,Gebruik een fluopotlood.
Folie,,Wegwerp-microgolffolie is overbodig. Gebruik liever een microgolfbestendige bewaardoos.
Frituurolie,,"Stel de juiste temperatuur i als je frieten bakt, zo gaat de olie langer mee."
Gootsteenontstopper,,"Ontstop de gootsteen met een rubberen zuignam. Indien dit niet lukt, schroef dan de afvoer los en maak hem schoon."
Gras,,Gebruik een mulchmaaier.
Gras,,Zaai een traaggroeiend grasmengsel en dien hoogstens organische meststof op fijn gezeefde compost toe.
Gras,,Vervang (een stuk) van uw gazon door een bloemenwijde die een of twee keer per jaar maait.
Haag,geknipt of geschoren,"Stel snoeien uit tot juli, anders stimuleert u de
haagplanten om sneller te groeien."
Haag,geknipt of geschoren,"Gooi het op de composthoop, in de compostbak, of het compostvat."
Herbicide,,"Geef onkruid geen kans door te schoffelen, te spitten, bodembedekkers te planten, of mulchmateriaal aan te brengen."
Hooi,,"Voeder het aan dieren (konijnen, cavia, …)."
Insectenspray en insecticide,,Bestrijd insecten met natuurlijke middelen.
Insectenspray en insecticide,,Gebruik een vliegenraam/hor.
Kartonnen beker,,Gebruik een gewoon glas of herbruikbare bekers.
