Wat?,Tip
aansteker,hervulbare aanstekers zijn beter.
alcoholstift,"gebruik navulbare stiften, bij voorkeur op waterbasis."
alkaline batterij,gebruik toesten op netstroom.
alkaline batterij,"gebruik herlaadbare batterijen, bij voorkeur nikkelmetaal-hybride (NiMH-batterijen)."
aluminiumfolie,"gebruik een brooddoos, wegbergdozen, of zo nodig plasticfolie."
autoband,"verleng de levensduur: hou een vlotte rijstijl aan, zonder bruusk optrekken of remmen."
badschuim,gebruik gewone zeep.
balpen,gebruik een navulbare pen.
behanglijmoplosser,"""stoom"" uw behang af."
bestek (kunststof),"gebruik duurzaam, metalen, bestek."
bestrijdingsmiddelen,"hou ongedierte en ziekten binnen de perken door vruchtwisseling toe te passen, natuurlijke vijanden aan te trekken (vogels, egels, kikkers, ...)."
blikje,geef de voorkeur aan statiegeldflessen.
blikje,gebruik een drinkbus of thermos.
bloempot (kunststof),gebruik biodegradeerbare bloempotjes.
boekentas,indien nog bruikbaar is hij welkom in kringswinkels
boomschors,"laat het als mulchlaag liggen tussen bomen, struiken, en heesters."
boomschors,"gooi het op de composthoop, in de compostbak of het compostvat."
brood,koop niet teveel ineens.
brood,rooster oud brood tot toast of verwerk het in broodpudding.
brood,voeder het aan de dieren.
broodzak,neem uw eigen broodzak mee naar de bakker.
cadeaupapier,"verpak een geschenk in een herbruikbare verpakking (handdoek, brooddoos, ...)."
cartridge,geef de voorkeur aan hervulbare inktpatronen.
conserveblikje,geef de voorkeur aan verse producten.
detergent (fles of flacon),kies een navulbare verpakking.
dierlijke uitwerpselen,"van planteneters (cavia, etc.) is de mest composteerbaar."
diskette,gebruik een memory-stick.
douchegel,geef de voorkeur aan zeep.
drankblikjes en -kartons,geef de voorkeur aan statiegeldflessen.
droogkuisproduct,geef de voorkeur aan wasbaar textiel.
eierschaal,verbrijzel ze en gooi ze op de composthoop, in de compostbak, of het compostvat.
etensresten,"voeder ze aan de kippen of een huisdier (hond, ...)."
etensresten,"kleine hoeveelheden zonder vlees, vis, vet of saus: gooi ze op de composthoop, in de compostbak, of het compostvat, en werk ze onder."
fiets,breng herbruikbare fietsen naar de kringwinkel.
flacon,kies bij voorkeur navulbare.
fles (kunststof),kies bij voorkeur statiegeldflessen.
fluostift,gebruik een fluopotlood.
folie,wegwerp-microgolffolie is overbodig. Gebruik liever een microgolfbestendige bewaardoos.
frituurolie,stel de juiste temperatuur i als je frieten bakt, zo gaat de olie langer mee.
gootsteenontstopper,"ontstop de gootsteen met een rubberen zuignam. Indien dit niet lukt, schroef dan de afvoer los en maak hem schoon."
gras,gebruik een mulchmaaier.
gras,zaai een traaggroeiend grasmengsel en dien hoogstens organische meststof op fijn gezeefde compost toe.
gras,vervang (een stuk) van uw gazon door een bloemenwijde die een of twee keer per jaar maait.
haag (geknipt of geschoren),"stel snoeien uit tot juli, anders stimuleert u de
haagplanten om sneller te groeien."
haag (geknipt of geschoren),"gooi het op de composthoop, in de compostbak, of het compostvat."
herbicide,"geef onkruid geen kans door te schoffelen, te spitten, bodembedekkers te planten, of mulchmateriaal aan te brengen."
hooi,"voeder het aan dieren (konijnen, cavia, ...)."
insectenspray en insecticide,bestrijd insecten met natuurlijke middelen.
insectenspray en insecticide,gebruik een vliegenraam of hor.
